250_c2_r3,1000_c2_r3,5000_c2_r4
NaN,NaN,NaN
NaN,NaN,NaN
2.09138287744671e-16,0,0
1.95898871783766e-16,0,0
1.82659455822861e-16,0,0
1.69420039861956e-16,0,0
1.56180623901051e-16,0,0
1.42941207940146e-16,0,0
1.29701791979241e-16,0,0
1.16462376018335e-16,0,0
1.03222960057431e-16,0,0
8.99835440965255e-17,0,0
7.67441281356207e-17,0,0
6.35047121747155e-17,0,0
5.02652962138103e-17,0,0
3.70258802529055e-17,0,0
2.37864642920003e-17,0,0
1.05470483310955e-17,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.0998240170508297,0,0
0.201728880192409,0,0
0.237634422332349,0,0
0.25547445,0,0
0.25547445,0,0
0.25547445,0,0
0.232799527435342,0,0
0.0804757160376376,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1.70598980169997e-06
0,0,3.8985532935002e-06
0,0,6.09111678530074e-06
0,0,8.28368027710098e-06
0,0,1.04762437689014e-05
0,0,1.26688072607018e-05
0,0,1.4861370752502e-05
0,1.82804668487747e-05,1.70539342443025e-05
0,6.46634640292552e-05,1.92464977361028e-05
0,0.000111046461209739,2.14390612279032e-05
0,0.000157429458390223,2.36316247197035e-05
0,0.000203812455570703,2.58241882115038e-05
0,0.00025019545275119,2.80167517033043e-05
0,0.000296578449931671,3.02093151951046e-05
0,0.000342961447112155,3.24018786869049e-05
0,0.000389344444292638,3.45944421787053e-05
0,0.000435727441473119,3.67870056705056e-05
0,0.000482110438653606,3.89795691623061e-05
0,0.000528493435834086,4.11721326541063e-05
0,0.00057487643301457,4.33646961459067e-05
0,0.000621259430195054,4.55572596377071e-05
0,0.000667642427375535,4.77498231295074e-05
0,0.000714025424556022,4.99423866213079e-05
0,0.000760408421736502,5.21349501131081e-05
0,0.000806791418916986,5.43275136049085e-05
0,0.00085317441609747,5.65200770967089e-05
0,0.00089955741327795,5.87126405885091e-05
0,0.000945940410458437,6.09052040803097e-05
0,0.000992323407638918,6.30977675721099e-05
0,0.0010387064048194,6.52903310639103e-05
0,0.00108508940199989,6.74828945557107e-05
0,0.00113147239918037,6.96754580475109e-05
0,0.00116639703203205,7.18680215393115e-05
0,0.00113570237329437,7.40605850311117e-05
0,0.00110500771455668,7.62531485229121e-05
0,0.001074313055819,7.84457120147125e-05
0,0.00104361839708131,8.06382755065127e-05
0,0.00101292373834363,8.28308389983133e-05
0,0.000982229079605942,8.40712020013716e-05
0,0.000951534420868256,8.0712223464591e-05
0,0.00092083976213057,7.73532449278105e-05
0,0.000890145103392886,7.39942663910302e-05
0,0.000859450444655198,7.06352878542494e-05
0,0.000828755785917514,6.72763093174691e-05
0,0.000798061127179828,6.39173307806886e-05
0,0.000767366468442141,6.05583522439081e-05
0,0.000736671809704458,5.71993737071278e-05
0,0.000705977150966769,5.3840395170347e-05
0,0.000675282492229085,5.04814166335667e-05
0,0.000644587833491399,4.71224380967862e-05
0,0.000613893174753713,4.37634595600056e-05
0,0.000583198516016029,4.04044810232253e-05
0,0.000552503857278341,3.70455024864446e-05
0,0.000521809198540657,3.36865239496643e-05
0,0.000491114539802971,3.03275454128837e-05
0,0.000460419881065285,2.69685668761032e-05
0,0.000429725222327601,2.36095883393229e-05
0,0.000399030563589913,2.02506098025422e-05
0,0.000368335904852229,1.68916312657619e-05
0,0.000337641246114543,1.35326527289813e-05
0,0.000306946587376857,1.01736741922008e-05
0,0.000276251928639173,6.8146956554205e-06
0,0.000245557269901484,3.45571711863973e-06
0,0.0002148626111638,9.67385818594352e-08
0,0.000184167952426114,NaN
0.06751825,0.000153473293688428,NaN
0.06751825,0.000122778634950744,NaN
0.0667472636588041,9.20839762130561e-05,NaN
0.0645711802797588,6.13893174753722e-05,NaN
0.0388186239204551,3.06946587376861e-05,NaN
0.0018248175,0,NaN
